epoch,loss,
1,367.74510598278715,
2,337.1740497795959,
3,517.4789269833183,
4,671.8852124291977,
5,283.4577211446823,
6,310.0469800453864,
7,336.171240840481,
8,354.47281018309883,
9,379.29448974542964,
10,350.5166628175185,
11,354.6702066911332,
12,375.9579892541416,
13,406.77678368950365,
14,350.82402918491726,
15,322.95988558527887,
16,310.3059507375632,
17,335.8534235167367,
18,347.80966850078244,
19,348.708780932528,
20,345.7391369878573,
21,360.4518034636625,
22,332.3155959510591,
23,363.9779328817419,
24,339.56237834512075,
25,342.9275605919092,
26,344.2842280900912,
27,348.83307558927174,
28,354.3802548623399,
29,331.6636715493304,
30,337.5241016113124,
31,nan,
