epoch,loss,
1,0.0003687989120167797,
2,0.00021327707887939414,
3,0.00017758617727626672,
4,0.0001617424136973856,
5,0.00014932869151291846,
6,0.00014660028461907222,
7,0.00013843901049687647,
8,0.00013403840731558307,
9,0.0001270829790498298,
10,0.00012668883672239145,
11,0.00012465085493024158,
12,0.00011896743021596023,
13,0.00011866202272532859,
14,0.00011551129344972552,
15,0.0001155267307855192,
16,0.00011049775243299667,
17,0.00010662489607239876,
18,0.00011179080659689645,
19,0.00010689462158749972,
20,0.00010385469178221482,
21,0.00010536139816961098,
22,0.00010338865464882277,
23,0.0001006731269954455,
24,0.00010079475906181022,
25,9.78330280061971e-05,
26,9.734251528625273e-05,
27,9.606902613692355e-05,
28,9.888580484215952e-05,
29,9.630813749996842e-05,
30,9.804568742926618e-05,
31,9.99986881526384e-05,
32,9.3961071618221e-05,
33,9.145628217487894e-05,
34,9.224273585579454e-05,
35,9.203655496167496e-05,
36,9.026423847652131e-05,
37,9.0234886932897e-05,
38,8.980859760016777e-05,
39,8.840112942074319e-05,
40,8.816391761614271e-05,
41,8.718063694188699e-05,
42,8.753598990364179e-05,
43,8.699995002149342e-05,
44,8.709118589824219e-05,
45,8.733378035593631e-05,
46,8.445225996079731e-05,
47,8.461546619026161e-05,
48,8.544873301073861e-05,
49,8.598807615562752e-05,
50,8.219167493278029e-05,
51,8.215385082265357e-05,
52,8.349316850024492e-05,
53,8.293531093698107e-05,
54,8.286822700878382e-05,
55,8.297736588402757e-05,
56,8.283077562226234e-05,
57,8.283849129604837e-05,
58,8.143238814160793e-05,
59,8.07799885060469e-05,
60,8.075587733019144e-05,
61,8.016777434088248e-05,
62,8.02866267529031e-05,
63,7.954514458644804e-05,
64,7.949874481173578e-05,
65,7.936493702305009e-05,
66,7.90993443872252e-05,
67,7.916291637605394e-05,
68,7.925193246831958e-05,
69,7.899140235672189e-05,
70,8.03441998240028e-05,
71,7.770248598785038e-05,
72,7.88502946870898e-05,
73,7.686009049117043e-05,
74,7.718755393949935e-05,
75,7.832888282759902e-05,
76,7.615150922162905e-05,
77,7.872560739256997e-05,
78,7.639319044773091e-05,
79,7.632184151122709e-05,
80,7.747546073751255e-05,
81,7.60677896018638e-05,
82,7.448737311225623e-05,
83,7.683419192333317e-05,
84,7.602139154804839e-05,
85,7.499091238344194e-05,
86,7.597833458064712e-05,
87,7.486812413531157e-05,
88,7.507255436362098e-05,
89,7.556265426969312e-05,
90,7.461574859713864e-05,
91,7.571808549182062e-05,
92,7.459226683745302e-05,
93,7.515029662239213e-05,
94,7.478529899434997e-05,
95,7.492868032026017e-05,
96,7.452019826288445e-05,
97,7.3464573623182e-05,
98,7.468867171500224e-05,
99,7.263381529243188e-05,
100,7.341153922804974e-05,
